group_name,link,platform
Department of Near and Middle Eastern Civilizations,https://www.facebook.com/NMC.UOT/,facebook
Department of Near and Middle Eastern Civilizations,https://twitter.com/UofTNMC,twitter
Department of Obstetrics and Gynaecology,https://www.facebook.com/uoftobgyn,facebook
Department of Obstetrics and Gynaecology,https://instagram.com/uoftobgyn/,instagram
Department of Philosophy,https://www.facebook.com/UofTphilosophy/,facebook
Department of Philosophy,https://twitter.com/uoftphilosophy,twitter
Department of Physical and Environmental Sciences,https://www.facebook.com/pages/UTSC-Environmental-Science/149787638399675?ref=aymt_homepage_panel,facebook
Department of Physical and Environmental Sciences,http://instagram.com/utsc_envirosci,instagram
Department of Physical and Environmental Sciences,https://twitter.com/utsc_weather,twitter
Department of Physical and Environmental Sciences,https://www.youtube.com/channel/UCTRZUKUjCq1wPzQhAvRnQhg,youtube
Department of Physical and Environmental Sciences (Graduate),https://www.facebook.com/UTSC-Master-of-Environmental-Science-124802167577471/,facebook
Department of Physical and Environmental Sciences (Graduate),https://instagram.com/utsc_dpesgrad/,instagram
Department of Physics,https://www.facebook.com/PhysicsUofT/,facebook
Department of Physics,https://twitter.com/uoftphysics,twitter
Department of Physics,https://www.youtube.com/channel/UCH2J2YJx3nfN1KygnB1ub4w,youtube
Department of Psychiatry,https://twitter.com/UofTPsych,twitter
Department of Rare Books and Special Collections (Thomas Fisher Rare Book Library),https://www.facebook.com/ThomasFisherLibrary,facebook
Department of Rare Books and Special Collections (Thomas Fisher Rare Book Library),https://twitter.com/Fisher_Library,twitter
Department of Rare Books and Special Collections (Thomas Fisher Rare Book Library),http://www.youtube.com/user/fisherlibrary,youtube
Department of Statistical Sciences,https://www.facebook.com/UofTStatSci,facebook
Department of Statistical Sciences,https://www.linkedin.com/school/uoftstatsci,linkedin
Department of Statistical Sciences,https://twitter.com/UofTStatSci,twitter
Department of Undergraduate Medical Education - Enrolment Services,https://www.facebook.com/UTMedAdmissions/,facebook
Department of Undergraduate Medical Education - Enrolment Services,https://www.instagram.com/uoftmdprogram/,instagram
Department of Undergraduate Medical Education - Enrolment Services,http://twitter.com/UofTMDprogram,twitter
Department of Undergraduate Medical Education - Enrolment Services,https://www.youtube.com/channel/UCS8W8pQVsWRSluZD4D1TtpQ,youtube
Discover U of T,https://twitter.com/DiscoverUofT,twitter
Division of Engineering Science,https://www.youtube.com/channel/UCQiUTy4cBfFDyk0rX27O1Tw,youtube
Division of Human Resources & Equity,https://twitter.com/workingatuoft,twitter
Dunlap Institute for Astronomy & Astrophysics,http://facebook.com/dunlapinstitute,facebook
Dunlap Institute for Astronomy & Astrophysics,https://www.instagram.com/dunlap_institute/,instagram
Dunlap Institute for Astronomy & Astrophysics,https://twitter.com/DunlapInstitute,twitter
Dunlap Institute for Astronomy & Astrophysics,http://youtube.com/dunlapinstitute,youtube
Ecology and Evolutionary Biology,https://www.facebook.com/eebundergrad,facebook
Ecology and Evolutionary Biology,https://twitter.com/eebtoronto,twitter
Emmanuel College,https://www.facebook.com/EmmanuelCollegeofVic,facebook
Emmanuel College,https://twitter.com/EmmanuelColleg2,twitter
Engineering & Computer Science Library,https://twitter.com/UofTECSL,twitter
Engineering Science @ U of T,https://www.youtube.com/channel/UCQiUTy4cBfFDyk0rX27O1Tw,youtube
English Language & Writing Support,https://twitter.com/elws,twitter
English Language Program - School of Continuing Studies,https://www.facebook.com/UofTELP,facebook
English Language Program - School of Continuing Studies,http://instagram.com/uoftelp,instagram
English Language Program - School of Continuing Studies,https://twitter.com/ELPSCSUofT,twitter
English Language Program - School of Continuing Studies,http://www.youtube.com/user/UofTELP,youtube
Equity & Diversity Office - Mississauga Campus,https://www.facebook.com/UTMEDO,facebook
Faculty of Applied Science & Engineering,https://www.facebook.com/uoftengineering?ref=ts&fref=ts,facebook
Faculty of Applied Science & Engineering,http://instagram.com/uoftengineering,instagram
Faculty of Applied Science & Engineering,http://www.linkedin.com/groups?home=&gid=4479867,linkedin
Faculty of Applied Science & Engineering,https://twitter.com/uoftengineering,twitter
Faculty of Applied Science & Engineering,http://www.youtube.com/uofteng,youtube
Faculty of Applied Science & Engineering - Office of the Registrar,https://twitter.com/uofteng_registr,twitter
Faculty of Arts & Science,https://www.facebook.com/UofTArtSci/,facebook
Faculty of Arts & Science,https://www.instagram.com/uoftartsci/,instagram
Faculty of Arts & Science,https://twitter.com/UofTArtSci,twitter
Faculty of Arts & Science - Alumni,https://www.facebook.com/ArtsandScienceAlumni,facebook
Faculty of Arts & Science - Alumni,http://www.linkedin.com/groups?home=&gid=3153729&trk=anet_ug_hm,linkedin
Faculty of Arts & Science - Alumni,http://www.youtube.com/AandSadvancement,youtube
Faculty of Arts & Science - Office of the Registrar,https://twitter.com/artsciregistrar,twitter
Faculty of Dentistry,https://www.facebook.com/UofTDentistry,facebook
Faculty of Dentistry,https://twitter.com/UofTDentistry,twitter
Faculty of Dentistry,http://www.youtube.com/user/dentistryuoft,youtube
Faculty of Forestry,https://twitter.com/UofTForestry,twitter
Faculty of Forestry,http://www.youtube.com/channel/UCSyBpQ-Tepj5e-wOtZoLljA,youtube
Faculty of Information,https://www.facebook.com/pages/Faculty-of-Information-at-U-of-Toronto/171445139536113?fref=ts,facebook
Faculty of Information,https://twitter.com/ischool_TO,twitter
Faculty of Information,http://www.youtube.com/user/iSchoolUofT,youtube
Faculty of Kinesiology & Physical Education,https://www.facebook.com/kperegistraroffice/,facebook
Faculty of Kinesiology & Physical Education,https://www.instagram.com/uoftkpe/,instagram
Faculty of Kinesiology & Physical Education,https://twitter.com/@UofTKPE,twitter
Faculty of Law,https://www.facebook.com/UTorontoLaw?fref=ts,facebook
Faculty of Law,http://www.linkedin.com/company/806942?trk=tyah,linkedin
Faculty of Law,https://twitter.com/UTLaw,twitter
Faculty of Law,http://www.youtube.com/user/UTorontoLaw,youtube
Faculty of Music,http://www.facebook.com/uoftmusic,facebook
Faculty of Music,https://www.instagram.com/UofTMusic/,instagram
Faculty of Music,https://twitter.com/uoftmusic,twitter
Family Care Office,https://www.facebook.com/FamilyCareOffice,facebook
Family Care Office,http://www.twitter.com/uoftfamilycare,twitter
Food Services,https://www.facebook.com/ueatoronto,facebook
Food Services,http://www.twitter.com/ueatoronto,twitter
Food Services,http://www.youtube.com/user/UeaTUtoronto/,youtube
Gerstein Science Information Centre,https://www.facebook.com/pages/Gerstein-Science-Information-Centre/60080681417,facebook
Gerstein Science Information Centre,https://www.instagram.com/gersteinlibrary,instagram
Gerstein Science Information Centre,https://twitter.com/GersteinLibrary,twitter
Gerstein Science Information Centre,http://www.youtube.com/user/gersteinlibrary,youtube
Graham Library & Trinity College Archives,https://www.facebook.com/JohnWGrahamLibrary/,facebook
Graham Library & Trinity College Archives,https://www.instagram.com/instagrahamlibrary/,instagram
Graham Library & Trinity College Archives,https://twitter.com/GrahamLibrary,twitter
Hart House,https://facebook.com/harthouseuoft,facebook
Hart House,https://www.instagram.com/HartHouseUofT/,instagram
Hart House,https://twitter.com/HartHouseUofT/,twitter
Hart House,https://www.youtube.com/user/HartHouseUofT,youtube
Hart House Theatre,https://www.facebook.com/#!/HartHouseTheatre,facebook
Hart House Theatre,https://twitter.com/HHTheatre,twitter
Hart House Theatre,http://www.youtube.com/user/HartHouseTheatre,youtube
Health & Counselling Centre,https://www.facebook.com/utmhccwellness/,facebook
Health & Counselling Centre,http://www.twitter.com/utmHCC,twitter
Health & Wellness Centre,https://www.facebook.com/UTSCHealthandWellnessCentre/,facebook
Health & Wellness Centre,https://twitter.com/WellnessUTSC,twitter
"Health & Wellness, Downtown (St. George) Campus",https://twitter.com/utwellness,twitter
Impact Centre,https://twitter.com/ImpactUofT,twitter
Information Technology Services,https://www.facebook.com/ITSUofT,facebook
Information Technology Services,http://twitter.com/ITSUofT,twitter
Inforum Library,https://www.facebook.com/ischooltorontoinfoservices/,facebook
Inforum Library,https://www.instagram.com/uoftinforum/,instagram
Inforum Library,https://twitter.com/ischool_infosrv,twitter
Innis College Alumni Network,https://www.facebook.com/InnisAlumni/,facebook
Innis College Alumni Network,http://instagram.com/innisalumni,instagram
Innis College Alumni Network,https://www.linkedin.com/groups/2878610,linkedin
Innis College Alumni Network,https://twitter.com/InnisAlumni,twitter
Innis College Alumni Network,https://www.youtube.com/channel/UC6hRjgTIO8BIUeLbi4ZrksA,youtube
Institute for Leadership Education in Engineering,https://www.facebook.com/ileaduoft,facebook
Institute for Leadership Education in Engineering,https://twitter.com/ileaduoft,twitter
Institute for Leadership Education in Engineering,http://www.youtube.com/channel/UC3hXbO6b-8TU4DOenmXKh8A?feature=watch,youtube
Institute for Life Course and Aging,https://www.facebook.com/agingutoronto.ca,facebook
Institute for Life Course and Aging,https://twitter.com/lifecourseUofT,twitter
Institute for Sustainable Energy,http://twitter.com/CSE_UToronto,twitter
Institute of Biomaterials & Biomedical Engineering,http://www.linkedin.com/pub/ibbme-alumni/64/b91/a2,linkedin
Institute of Biomaterials & Biomedical Engineering,https://twitter.com/IBBME_UofT,twitter
Institute on Municipal Finance & Governance (IMFG),https://twitter.com/imfgtoronto,twitter
Institute on Municipal Finance & Governance (IMFG),https://www.youtube.com/user/IMFGWebcasts1,youtube
Internationally Trained Lawyers Program (ITLP),http://www.youtube.com/user/ITLPatUTLaw,youtube
It's FREE UofT,https://twitter.com/ItsFREEUofT,twitter
"John H. Daniels Faculty of Architecture, Landscape, and Design",https://www.facebook.com/UofTDaniels,facebook
"John H. Daniels Faculty of Architecture, Landscape, and Design",https://instagram.com/uoftdaniels/,instagram
"John H. Daniels Faculty of Architecture, Landscape, and Design",http://www.linkedin.com/groups?home=&gid=7416262&trk=anet_ug_hm,linkedin
"John H. Daniels Faculty of Architecture, Landscape, and Design",https://twitter.com/UofTDaniels,twitter
"John H. Daniels Faculty of Architecture, Landscape, and Design",http://www.youtube.com/user/UofTDaniels,youtube
Kelly Library at St. Michael's University,https://www.facebook.com/jmkellyfriends/,facebook
Kelly Library at St. Michael's University,https://twitter.com/KellyLibrarySMC,twitter
Kinesiology & Physical Education - Registrar's Office,https://www.facebook.com/kperegistraroffice/,facebook
Kinesiology & Physical Education - Registrar's Office,https://www.instagram.com/,instagram
Lawrence S. Bloomberg Faculty of Nursing,https://www.facebook.com/UofTNursing,facebook
Lawrence S. Bloomberg Faculty of Nursing,https://twitter.com/UofTNursing,twitter
Leslie Dan Faculty of Pharmacy,https://www.facebook.com/LeslieDanFacultyOfPharmacy,facebook
Leslie Dan Faculty of Pharmacy,http://www.linkedin.com/groups/U-T-Leslie-Dan-Faculty-4362184?trk=myg_ugrp_ovr,linkedin
Leslie Dan Faculty of Pharmacy,https://twitter.com/uoftpharmacy,twitter
Leslie Dan Faculty of Pharmacy,http://www.youtube.com/user/UofTPharmacy,youtube
Life at U of T,https://www.facebook.com/LifeAtUofT,facebook
Life at U of T,http://instagram.com/lifeatuoft,instagram
Life at U of T,https://twitter.com/lifeatUofT,twitter
Life at U of T,https://www.youtube.com/user/LifeatUTSG,youtube
Martin Prosperity Institute - Rotman School of Management,https://twitter.com/martinprosperiT,twitter
Master of Biotechnology,http://facebook.com/mbiotech,facebook
Master of Biotechnology,http://twitter.com/MBiotech_News,twitter
Master of Global Affairs,https://www.facebook.com/mgaprogram,facebook
Master of Management of Innovation (MMI),https://twitter.com/MMI_UofT,twitter
Master of Science in Biomedical Communications,https://www.facebook.com/MScBMC,facebook
Master of Science in Biomedical Communications,http://www.linkedin.com/groups?gid=3698322&trk=hb_side_g,linkedin
Master of Science in Biomedical Communications,https://twitter.com/mscbmc,twitter
Materials Science & Engineering (MSE),https://www.linkedin.com/groups?gid=3855008&trk=hb_side_g,linkedin
Materials Science & Engineering (MSE),https://twitter.com/uoftmse,twitter
Mathematics,https://www.facebook.com/mathoutreachatuoft,facebook
Mathematics,https://twitter.com/UofTMathDept,twitter
Media Commons - Robarts Library,https://www.facebook.com/uoftmediacommonsarchives,facebook
Media Commons - Robarts Library,https://twitter.com/MediaCommons_TO,twitter
MoveU,https://www.facebook.com/MoveUofT,facebook
MoveU,http://instagram.com/moveuoft,instagram
MoveU,https://twitter.com/moveuoft,twitter
MoveU,http://www.youtube.com/moveuoft,youtube
Munk School of Global Affairs & Public Policy,https://www.facebook.com/munkschool,facebook
Munk School of Global Affairs & Public Policy,http://www.instagram.com/munkschool,instagram
Munk School of Global Affairs & Public Policy,https://www.linkedin.com/school/munkschool/,linkedin
Munk School of Global Affairs & Public Policy,https://twitter.com/munkschool,twitter
Munk School of Global Affairs & Public Policy,http://www.youtube.com/user/munkschool,youtube
New College,https://www.facebook.com/pages/New-College-Alumni-Friends-University-of-Toronto/192175714169723,facebook
New College,http://www.linkedin.com/groups/New-College-University-Toronto-Alumni-2576295?gid=2576295&trk=hb_side_g,linkedin
New College,https://twitter.com/newcollegeuoft,twitter
Nexus Magazine,http://www.twitter.com/utlawnexus,twitter
"Office of Health Professions Student Affairs, Temerty Faculty of Medicine",https://www.facebook.com/uoftohpsa,facebook
"Office of Health Professions Student Affairs, Temerty Faculty of Medicine",https://twitter.com/OHPSA,twitter
"Office of the Vice President, Research & Innovation, Research Communications",https://twitter.com/researchuoft,twitter
"Office of the Vice President, Research & Innovation, Research Communications",http://www.youtube.com/user/uoftresearch,youtube
Ontario Institute for Studies in Education (OISE),https://www.facebook.com/OISEUofT,facebook
Ontario Institute for Studies in Education (OISE),https://www.instagram.com/oiseuoft/,instagram
Ontario Institute for Studies in Education (OISE),https://www.linkedin.com/school/university-of-toronto---ontario-institute-for-studies-in-education/,linkedin
Ontario Institute for Studies in Education (OISE),https://twitter.com/OISEUofT,twitter
Ontario Institute for Studies in Education (OISE),https://www.youtube.com/user/OISEtube,youtube
Ontario Institute for Studies in Education (OISE) - Alumni,http://www.linkedin.com/groups?home=&gid=1770168&trk=anet_ug_hm,linkedin
Ontario Institute for Studies in Education (OISE) - Alumni,https://twitter.com/OISEAlumFriends,twitter
Ontario Institute for Studies in Education (OISE) - Alumni,http://www.youtube.com/user/OISEAlumniandFriends,youtube
Ontario Institute for Studies in Education (OISE) - Continuing & Professional Learning,http://www.linkedin.com/groups/OISE-Certificate-in-Adult-Training-4547377?gid=4547377&trk=hb_side_g,linkedin
Ontario Institute for Studies in Education (OISE) - Continuing & Professional Learning,http://www.youtube.com/user/oisecpl,youtube
Ontario Institute for Studies in Education (OISE) - Education Commons,https://twitter.com/OISEEdCommons,twitter
Ontario Institute for Studies in Education (OISE) - Education Commons,https://www.youtube.com/user/EducationCommons,youtube
Ontario Institute for Studies in Education (OISE) - Library,https://twitter.com/OISELibrary,twitter
Ontario Institute for Studies in Education (OISE) - Library,http://www.youtube.com/user/oiselibrary,youtube
Physician Assistant Professional Degree Program,http://www.facebook.com/PA.Program.UofT,facebook
Physician Assistant Professional Degree Program,http://www.twitter.com/PA_Program,twitter
Physician Assistant Professional Degree Program,http://www.youtube.com/user/UofTBScPA,youtube
Physics Store,https://www.facebook.com/physicsstore,facebook
Postgraduate Medical Education (PGME),https://www.facebook.com/pages/University-of-Toronto-Postgraduate-Medical-Education/353131638111007?fref=ts,facebook
Postgraduate Medical Education (PGME),https://twitter.com/UofTPGME,twitter
Postgraduate Medical Education (PGME),http://www.youtube.com/user/UofTPGME,youtube
Radiation Oncology,https://twitter.com/uoftdro,twitter
Regis College,https://www.facebook.com/RegisCollege,facebook
Regis College,https://twitter.com/RegisCollege,twitter
Rotman Alumni,http://www.facebook.com/pages/Rotman-Alumni-Network/121816254556031?ref=ts&fref=ts,facebook
Rotman Alumni,http://www.linkedin.com/groups?home=&gid=2631,linkedin
Rotman Alumni,https://twitter.com/RotmanAlumniNet,twitter
Rotman Commerce,https://www.facebook.com/RotmanCommerce,facebook
Rotman Commerce,http://www.linkedin.com/groups?gid=4125340&trk=hb_side_g,linkedin
Rotman Commerce,https://twitter.com/RotmanCommerce,twitter
Rotman Commerce,http://www.youtube.com/user/RotmanCommerceUofT?feature=watch,youtube
Rotman Commerce,https://www.facebook.com/RotmanCommerce,facebook
Rotman Commerce,http://www.linkedin.com/groups?gid=4125340&trk=hb_side_g,linkedin
Rotman Commerce,https://twitter.com/RotmanCommerce,twitter
Rotman Commerce,http://www.youtube.com/user/RotmanCommerceUofT?feature=watch,youtube
Rotman Events,https://www.instagram.com/rotmanevents/,instagram
Rotman Events,https://twitter.com/RotmanEvents,twitter
Rotman Executive Programs,https://www.linkedin.com/showcase/rotman-executive-programs/,linkedin
Rotman Executive Programs,https://twitter.com/rotmanexecutive,twitter
Rotman Initiative for Women in Business,https://www.linkedin.com/showcase/initiative-for-women-in-business,linkedin
Rotman Initiative for Women in Business,https://twitter.com/RotmanWomen,twitter
Rotman Management Magazine,https://twitter.com/RotmanMgmtMag,twitter
Rotman MBA,https://www.facebook.com/rotmanMBAadmissions,facebook
Rotman Morning & Evening MBA and Master of Finance,https://twitter.com/RotmanMBAMFin,twitter
Rotman Omnium Global Executive MBA,http://www.linkedin.com/groups?home=&gid=119663&trk=anet_ug_hm,linkedin
Rotman Omnium Global Executive MBA,http://www.youtube.com/playlist?list=PL4BEF17D21CD1B50D,youtube
Rotman One-Year Executive MBA,http://www.linkedin.com/groups?gid=4980810&trk=myg_ugrp_ovr,linkedin
Rotman One-Year Executive MBA,http://www.youtube.com/playlist?list=PL8FB110A05C673771,youtube
Rotman School of Management,https://www.facebook.com/RotmanSchoolOfManagement/,facebook
Rotman School of Management,http://www.instagram.com/rotmanschool,instagram
Rotman School of Management,http://www.linkedin.com/company/rotman-school-of-management,linkedin
Rotman School of Management,http://www.twitter.com/rotmanschool,twitter
Rotman School of Management,http://www.youtube.com/rotmanschool,youtube
Saint Michael's College,https://www.facebook.com/USMCUofT,facebook
Saint Michael's College,https://twitter.com/smcalumniaffair,twitter
Scholarly Communications and Copyright Office,https://twitter.com/uoftscco,twitter
School of Continuing Studies,https://www.facebook.com/UofTSCS/,facebook
School of Continuing Studies,https://www.instagram.com/uoftscs/,instagram
School of Continuing Studies,https://www.linkedin.com/school/uoftscs/,linkedin
School of Continuing Studies,https://twitter.com/UofTSCS,twitter
School of the Environment,https://www.facebook.com/UofTenvironment/,facebook
School of the Environment,https://www.instagram.com/uoftenvironment/?hl=en,instagram
School of the Environment,https://twitter.com/UofTenvironment?lang=en,twitter
Sexual & Gender Diversity Office,http://www.facebook.com/utorontosgdo,facebook
Sexual & Gender Diversity Office,https://twitter.com/UofTSGDO,twitter
Summer Abroad (Professional & International Programs),https://www.facebook.com/UofTAbroad,facebook
Summer Abroad (Professional & International Programs),https://www.instagram.com/uoftabroad/,instagram
Summer Abroad (Professional & International Programs),https://twitter.com/uoftabroad,twitter
Temerty Faculty of Medicine,https://www.facebook.com/UofTMedicine,facebook
Temerty Faculty of Medicine,http://instagram.com/uoftmedicine,instagram
Temerty Faculty of Medicine,https://twitter.com/uoftmedicine,twitter
Temerty Faculty of Medicine,http://www.youtube.com/user/UofTMed,youtube
The Edward S. Rogers Sr. Department of Electrical & Computer Engineering (ECE),https://www.facebook.com/pages/Electrical-Computer-Engineering-at-U-of-T/490183564376658?ref=hl,facebook
The Edward S. Rogers Sr. Department of Electrical & Computer Engineering (ECE),http://www.linkedin.com/groups?mostPopular=&gid=3354639,linkedin
The Edward S. Rogers Sr. Department of Electrical & Computer Engineering (ECE),https://twitter.com/eceuoft,twitter
The Faculty Club,https://www.facebook.com/UofTFacultyClub?ref=hl,facebook
The Faculty Club,https://twitter.com/TOFacultyClub,twitter
Tri-Campus Graduate Department of Sociology,https://twitter.com/SocResearchUT,twitter
Trinity College,https://www.facebook.com/TrinityCollegeToronto/,facebook
Trinity College,https://www.instagram.com/trinitycollegetoronto/,instagram
Trinity College,https://www.linkedin.com/school/trinity-college-university-of-toronto/,linkedin
Trinity College,https://twitter.com/Trinity_College,twitter
Trinity College,https://www.youtube.com/channel/UCPr6xM-UdM_pZxTpcG2gIWQ,youtube
Trinity College Book Sale,https://www.facebook.com/TrinityCollegeFOTL,facebook
Trinity College Book Sale,https://www.instagram.com/instagrahamlibrary/,instagram
Trinity College Book Sale,https://twitter.com/trinitybooksale,twitter
"Trudeau Centre for Peace, Conflict and Justice",https://twitter.com/trudeaupcj?lang=en,twitter
U of T Art History,https://www.facebook.com/UofTarthistory/,facebook
U of T Art History,https://www.instagram.com/uoftarthistory/,instagram
U of T Art History,https://twitter.com/UofArt,twitter
U of T Cities,https://twitter.com/uoftcities,twitter
U of T Intramurals,https://www.facebook.com/uoftintramurals/,facebook
U of T Intramurals,https://www.instagram.com/varsityblues/,instagram
U of T Intramurals,https://twitter.com/UofTIntramurals,twitter
U of T Magazine,http://www.facebook.com/pages/U-of-T-Magazine/176022529092653,facebook
U of T Magazine,http://twitter.com/uoftmagazine,twitter
U of T Sport and Recreation,https://www.facebook.com/uoftsportandrec/,facebook
U of T Sport and Recreation,https://www.instagram.com/uoftsportandrec,instagram
U of T Sport and Recreation,https://www.twitter.com/UofTSportandRec,twitter
Undergraduate Medical Education,https://www.facebook.com/UTMedAdmissions/,facebook
Undergraduate Medical Education,https://www.instagram.com/uoftmdprogram/,instagram
Undergraduate Medical Education,http://twitter.com/UofTMDprogram,twitter
Undergraduate Medical Education,https://www.youtube.com/channel/UCS8W8pQVsWRSluZD4D1TtpQ,youtube
University Advancement - Office of the Vice-President,https://www.facebook.com/uoftalumni,facebook
University Advancement - Office of the Vice-President,https://www.instagram.com/uoftalumni/,instagram
University Advancement - Office of the Vice-President,https://twitter.com/uoftalumni,twitter
